factor,bin,n,avg_pnl,median_pnl,winrate,profit_factor,pnl_wo_top1
raw_atr_expansion,1,3,-9.295229612842443,-9.254508149328728,0.0,0.0,-19.255236558605723
raw_atr_expansion,2,3,-8.225484270905204,-8.48205907417129,0.0,0.0,-19.418041231842825
raw_atr_expansion,3,3,-0.2146164334965676,1.9173242999163325,0.6666666666666666,0.929978974373344,-7.27776095808363
raw_atr_expansion,4,3,14.487888835836088,-0.46253873827706826,0.3333333333333333,22.243724909762637,-2.0459531787447673
raw_candle_structure,0,3,1.0976081255458239,1.9173242999163325,0.6666666666666666,1.6262013397001782,-3.3410872809564554
raw_candle_structure,1,3,-4.327311778805434,-1.583414440467699,0.0,0.0,-12.519396598139235
raw_candle_structure,2,3,-8.479398021621309,-8.48205907417129,0.0,0.0,-17.736567223500018
raw_candle_structure,3,3,-10.451171676469901,-10.000728409276991,0.0,0.0,-23.727443434619353
raw_candle_structure,4,3,9.228027382777151,-8.630452279921611,0.3333333333333333,2.5530573532179366,-17.825537537921576
raw_ema_distance,0,3,-6.626859990039964,-8.48205907417129,0.0,0.0,-19.418041231842825
raw_ema_distance,1,3,-0.8585247925547069,-1.583414440467699,0.3333333333333333,0.7203346236908699,-9.209486035258049
raw_ema_distance,2,3,-5.7793040862297955,-9.254508149328728,0.3333333333333333,0.09957417526815193,-19.255236558605716
raw_ema_distance,3,3,-10.01959804887596,-8.630452279921611,0.0,0.0,-22.35716730526397
raw_ema_distance,4,3,10.35204094912676,-5.258411580872789,0.3333333333333333,3.14869267925909,-14.453496838872752
raw_htf_score,0,15,-2.5864491937147336,-7.7016268413639075,0.2,0.5821910042817768,-84.30635759197403
raw_impulse_strength,0,3,-9.295229612842443,-9.254508149328728,0.0,0.0,-19.255236558605723
raw_impulse_strength,1,3,-11.048252085728395,-10.935982157671535,0.0,0.0,-24.662697183013897
raw_impulse_strength,2,3,-6.862036672342349,-7.62607159479035,0.0,0.0,-15.327698436154257
raw_impulse_strength,3,3,-1.3815293469579115,-1.583414440467699,0.3333333333333333,0.6154763504365126,-10.778499698467662
raw_impulse_strength,4,3,15.654801749297432,1.9173242999163325,0.6666666666666666,102.53615548577004,1.4547855616392624
